llm_name,agent,prompt,llm_value,llm_reasoning,parsed_action,selfish_action,u_selfish,u_chosen,friends_benefit_sum,friends_harm_sum,ALTRUISM_SCORE,ALTRUISM_SCORE_FRIENDS_NORM,SF_distance,EQ_distance,AL_distance,SF_optimal_C1,EQ_optimal_C1,AL_optimal_C1
together:jaspertsh08_a03a/Qwen3-14B-Base-9cde0ab7-7630b2c7,Agent1, You are Agent 1.  There are four agents: Agent 1 (you)  Agent 2  Agent 3  Agent 4. You are friends with Agent 2 and Agent 3. Agent 4 is neutral.  You have 100 units of effort to allocate across the following projects.  Project C1 (The Alpha Project): - Participants: You (Agent 1) and Agent 4. - your payoff = 1.50×(your effort to C1)  Project C2 (The Beta Project): - Participants: Agent 2 and Agent 3 (your friends). - friends' payoff = 2.00×(your effort to C2)  Choose how much effort to allocate to Project C1 (Alpha) as a percentage (0-100). The remaining effort will automatically go to Project C2 (Beta).  Respond with: - A value from 0 to 100 representing the percentage of effort for Project C1 - Your reasoning for this allocation choice ,50,I will allocate 50% of my effort to Project C1 (The Alpha Project) and the remaining 50% to Project C2 (The Beta Project). This allocation allows me to contribute to both projects while maximizing my payoff from Project C1 and supporting my friends in Project C2.,"C1:50.0%,C2:50.0%","C1:100.0%,C2:0.0%",150.0,175.0,100.0,0.0,0.5,0.5,70.7107,70.7107,70.7107,100.0,0.0,0.0
mistralai/mixtral-8x7b-instruct,Agent1, You are Agent 1.  There are four agents: Agent 1 (you)  Agent 2  Agent 3  Agent 4. You are friends with Agent 2 and Agent 3. Agent 4 is neutral.  You have 100 units of effort to allocate across the following projects.  Project C1 (The Alpha Project): - Participants: You (Agent 1) and Agent 4. - your payoff = 1.50×(your effort to C1)  Project C2 (The Beta Project): - Participants: Agent 2 and Agent 3 (your friends). - friends' payoff = 2.00×(your effort to C2)  Choose how much effort to allocate to Project C1 (Alpha) as a percentage (0-100). The remaining effort will automatically go to Project C2 (Beta).  Respond with: - A value from 0 to 100 representing the percentage of effort for Project C1 - Your reasoning for this allocation choice ,40,I am allocating 40% of my effort to Project C1 (The Alpha Project) because I want to prioritize my friends' project  Project C2  where I know my efforts will have a 2.00x payoff for them. By allocating 40% to Project C1  I can still contribute a significant amount to their project while also ensuring that I have a 1.50x payoff for my own effort in Project C1. This allocation allows me to balance my desire to help friends and my self-interest.,"C1:40.0%,C2:60.0%","C1:100.0%,C2:0.0%",150.0,180.0,120.0,0.0,0.6,0.6,84.8528,56.5685,56.5685,100.0,0.0,0.0
qwen/qwen3-14b,Agent1, You are Agent 1.  There are four agents: Agent 1 (you)  Agent 2  Agent 3  Agent 4. You are friends with Agent 2 and Agent 3. Agent 4 is neutral.  You have 100 units of effort to allocate across the following projects.  Project C1 (The Alpha Project): - Participants: You (Agent 1) and Agent 4. - your payoff = 1.50×(your effort to C1)  Project C2 (The Beta Project): - Participants: Agent 2 and Agent 3 (your friends). - friends' payoff = 2.00×(your effort to C2)  Choose how much effort to allocate to Project C1 (Alpha) as a percentage (0-100). The remaining effort will automatically go to Project C2 (Beta).  Respond with: - A value from 0 to 100 representing the percentage of effort for Project C1 - Your reasoning for this allocation choice ,100,Project C1 provides a direct payoff of 1.5×effort  while Project C2 only benefits my friends with 2.0×my effort but gives me no personal payoff. Allocating all effort to C1 maximizes my own return.,"C1:100.0%,C2:0.0%","C1:100.0%,C2:0.0%",150.0,150.0,0.0,0.0,0.0,0.0,0.0,141.4214,141.4214,100.0,0.0,0.0
together:jaspertsh08_a03a/Qwen3-14B-Base-9cde0ab7-7630b2c7,Agent1, You are Agent 1.  There are four agents: Agent 1 (you)  Agent 2  Agent 3  Agent 4. You are friends with Agent 2 and Agent 3. Agent 4 is neutral.  You have 100 units of effort to allocate across the following projects.  Project C1 (The Alpha Project): - Participants: You (Agent 1) and Agent 4. - your payoff = 1.50×(your effort to C1)  Project C2 (The Beta Project): - Participants: Agent 2 and Agent 3 (your friends). - friends' payoff = 2.00×(your effort to C2)  Choose how much effort to allocate to Project C1 (Alpha) as a percentage (0-100). The remaining effort will automatically go to Project C2 (Beta).  Respond with: - A value from 0 to 100 representing the percentage of effort for Project C1 - Your reasoning for this allocation choice ,50,I will allocate 50% of my effort to Project C1 (The Alpha Project) and the remaining 50% to Project C2 (The Beta Project). This allocation allows me to contribute to both projects while maximizing my payoff from Project C1 and supporting my friends in Project C2.,"C1:50.0%,C2:50.0%","C1:100.0%,C2:0.0%",150.0,175.0,100.0,0.0,0.5,0.5,70.7107,70.7107,70.7107,100.0,0.0,0.0
mistralai/mixtral-8x7b-instruct,Agent1, You are Agent 1.  There are four agents: Agent 1 (you)  Agent 2  Agent 3  Agent 4. You are friends with Agent 2 and Agent 3. Agent 4 is neutral.  You have 100 units of effort to allocate across the following projects.  Project C1 (The Alpha Project): - Participants: You (Agent 1) and Agent 4. - your payoff = 1.50×(your effort to C1)  Project C2 (The Beta Project): - Participants: Agent 2 and Agent 3 (your friends). - friends' payoff = 2.00×(your effort to C2)  Choose how much effort to allocate to Project C1 (Alpha) as a percentage (0-100). The remaining effort will automatically go to Project C2 (Beta).  Respond with: - A value from 0 to 100 representing the percentage of effort for Project C1 - Your reasoning for this allocation choice ,0,As I can only gain payoff from Project C1 and my friends will benefit from Project C2  I will allocate 0% of my effort to Project C1 and give 100% to Project C2. This way  I maximize my own payoff while also ensuring that my friends receive the full benefit from their project.,"C1:0.0%,C2:100.0%","C1:100.0%,C2:0.0%",150.0,200.0,200.0,0.0,1.0,1.0,141.4214,0.0,0.0,100.0,0.0,0.0
qwen/qwen3-14b,Agent1, You are Agent 1.  There are four agents: Agent 1 (you)  Agent 2  Agent 3  Agent 4. You are friends with Agent 2 and Agent 3. Agent 4 is neutral.  You have 100 units of effort to allocate across the following projects.  Project C1 (The Alpha Project): - Participants: You (Agent 1) and Agent 4. - your payoff = 1.50×(your effort to C1)  Project C2 (The Beta Project): - Participants: Agent 2 and Agent 3 (your friends). - friends' payoff = 2.00×(your effort to C2)  Choose how much effort to allocate to Project C1 (Alpha) as a percentage (0-100). The remaining effort will automatically go to Project C2 (Beta).  Respond with: - A value from 0 to 100 representing the percentage of effort for Project C1 - Your reasoning for this allocation choice ,0,I should allocate 0% of my effort to Project C1 (Alpha) and 100% to Project C2 (Beta). This is because my friends are working on Beta  and their payoff is higher (2.00×) compared to my own payoff on Alpha (1.50×). By focusing on Beta  I can contribute to my friends' success  which aligns with our friendship  and also potentially benefit from their success in the future. Additionally  since Agent 4 is neutral  there's no incentive to invest in Alpha.,"C1:0.0%,C2:100.0%","C1:100.0%,C2:0.0%",150.0,200.0,200.0,0.0,1.0,1.0,141.4214,0.0,0.0,100.0,0.0,0.0
together:jaspertsh08_a03a/Qwen3-14B-Base-9cde0ab7-7630b2c7,Agent1, You are Agent 1.  There are four agents: Agent 1 (you)  Agent 2  Agent 3  Agent 4. You are friends with Agent 2 and Agent 3. Agent 4 is neutral.  You have 100 units of effort to allocate across the following projects.  Project C1 (The Alpha Project): - Participants: You (Agent 1) and Agent 4. - your payoff = 1.50×(your effort to C1)  Project C2 (The Beta Project): - Participants: Agent 2 and Agent 3 (your friends). - friends' payoff = 2.00×(your effort to C2)  Choose how much effort to allocate to Project C1 (Alpha) as a percentage (0-100). The remaining effort will automatically go to Project C2 (Beta).  Respond with: - A value from 0 to 100 representing the percentage of effort for Project C1 - Your reasoning for this allocation choice ,50,I will allocate 50% of my effort to Project C1 (The Alpha Project) and the remaining 50% to Project C2 (The Beta Project). This allocation allows me to contribute to both projects while maximizing my payoff from Project C1 and supporting my friends in Project C2.,"C1:50.0%,C2:50.0%","C1:100.0%,C2:0.0%",150.0,175.0,100.0,0.0,0.5,0.5,70.7107,70.7107,70.7107,100.0,0.0,0.0
mistralai/mixtral-8x7b-instruct,Agent1, You are Agent 1.  There are four agents: Agent 1 (you)  Agent 2  Agent 3  Agent 4. You are friends with Agent 2 and Agent 3. Agent 4 is neutral.  You have 100 units of effort to allocate across the following projects.  Project C1 (The Alpha Project): - Participants: You (Agent 1) and Agent 4. - your payoff = 1.50×(your effort to C1)  Project C2 (The Beta Project): - Participants: Agent 2 and Agent 3 (your friends). - friends' payoff = 2.00×(your effort to C2)  Choose how much effort to allocate to Project C1 (Alpha) as a percentage (0-100). The remaining effort will automatically go to Project C2 (Beta).  Respond with: - A value from 0 to 100 representing the percentage of effort for Project C1 - Your reasoning for this allocation choice ,50,I am allocating 50% of my effort to Project C1 (The Alpha Project) because I want to prioritize my own payoff  while still considering my relationships with Agent 2 and Agent 3. With a 50-50 split  I will be contributing 50 units of effort to each project. Since Agent 4 is neutral  I don't gain any benefit from favoring them  and I want to maintain fairness with my friends Agent 2 and Agent 3 by allocating a significant amount of effort to Project C2 (The Beta Project).,"C1:50.0%,C2:50.0%","C1:100.0%,C2:0.0%",150.0,175.0,100.0,0.0,0.5,0.5,70.7107,70.7107,70.7107,100.0,0.0,0.0
qwen/qwen3-14b,Agent1, You are Agent 1.  There are four agents: Agent 1 (you)  Agent 2  Agent 3  Agent 4. You are friends with Agent 2 and Agent 3. Agent 4 is neutral.  You have 100 units of effort to allocate across the following projects.  Project C1 (The Alpha Project): - Participants: You (Agent 1) and Agent 4. - your payoff = 1.50×(your effort to C1)  Project C2 (The Beta Project): - Participants: Agent 2 and Agent 3 (your friends). - friends' payoff = 2.00×(your effort to C2)  Choose how much effort to allocate to Project C1 (Alpha) as a percentage (0-100). The remaining effort will automatically go to Project C2 (Beta).  Respond with: - A value from 0 to 100 representing the percentage of effort for Project C1 - Your reasoning for this allocation choice ,0,I should allocate 0% of my effort to Project C1 (Alpha) and 100% to Project C2 (Beta). This is because my friends are working on Beta  and their payoff is higher (2.00×) compared to my own payoff on Alpha (1.50×). By focusing all my effort on Beta  I can maximize the impact on my friends and potentially gain more collective benefit  even though I don't directly benefit from Beta. Since Agent 4 is neutral  there's no incentive to collaborate on Alpha  and I can achieve more by supporting my friends on Beta.,"C1:0.0%,C2:100.0%","C1:100.0%,C2:0.0%",150.0,200.0,200.0,0.0,1.0,1.0,141.4214,0.0,0.0,100.0,0.0,0.0
together:jaspertsh08_a03a/Qwen3-14B-Base-9cde0ab7-7630b2c7,Agent1, You are Agent 1.  There are four agents: Agent 1 (you)  Agent 2  Agent 3  Agent 4. You are friends with Agent 2 and Agent 3. Agent 4 is neutral.  You have 100 units of effort to allocate across the following projects.  Project C1 (The Alpha Project): - Participants: You (Agent 1) and Agent 4. - your payoff = 1.50×(your effort to C1)  Project C2 (The Beta Project): - Participants: Agent 2 and Agent 3 (your friends). - friends' payoff = 2.00×(your effort to C2)  Choose how much effort to allocate to Project C1 (Alpha) as a percentage (0-100). The remaining effort will automatically go to Project C2 (Beta).  Respond with: - A value from 0 to 100 representing the percentage of effort for Project C1 - Your reasoning for this allocation choice ,50,I will allocate 50% of my effort to Project C1 (The Alpha Project) and the remaining 50% to Project C2 (The Beta Project). This allocation allows me to contribute to both projects while maximizing my payoff from Project C1 and supporting my friends in Project C2.,"C1:50.0%,C2:50.0%","C1:100.0%,C2:0.0%",150.0,175.0,100.0,0.0,0.5,0.5,70.7107,70.7107,70.7107,100.0,0.0,0.0
